Pos,Driver,Nationality,Car,Pts,Year
4,Lewis HamiltonHAM,GBR,McLaren Mercedes,240.0,2010
5,Jenson ButtonBUT,GBR,McLaren Mercedes,214.0,2010
6,Felipe MassaMAS,BRA,Ferrari,144.0,2010
7,Nico RosbergROS,GER,Mercedes,142.0,2010
8,Robert KubicaKUB,POL,Renault,136.0,2010
9,Michael SchumacherMSC,GER,Mercedes,72.0,2010
10,Rubens BarrichelloBAR,BRA,Williams Cosworth,47.0,2010
11,Adrian SutilSUT,GER,Force India Mercedes,47.0,2010
12,Kamui KobayashiKOB,JPN,Sauber Ferrari,32.0,2010
13,Vitaly PetrovPET,RUS,Renault,27.0,2010
14,Nico HulkenbergHUL,GER,Williams Cosworth,22.0,2010
15,Vitantonio LiuzziLIU,ITA,Force India Mercedes,21.0,2010
16,Sebastien BuemiBUE,SUI,STR Ferrari,8.0,2010
17,Pedro de la RosaDLR,ESP,Sauber Ferrari,6.0,2010
18,Nick HeidfeldHEI,GER,Sauber Ferrari,6.0,2010
19,Jaime AlguersuariALG,ESP,STR Ferrari,5.0,2010
20,Heikki KovalainenKOV,FIN,Lotus Cosworth,0.0,2010
21,Jarno TrulliTRU,ITA,Lotus Cosworth,0.0,2010
22,Karun ChandhokCHD,IND,HRT Cosworth,0.0,2010
23,Bruno SennaSEN,BRA,HRT Cosworth,0.0,2010
24,Lucas di GrassiDIG,BRA,Virgin Cosworth,0.0,2010
25,Timo GlockGLO,GER,Virgin Cosworth,0.0,2010
26,Sakon YamamotoYAM,JPN,HRT Cosworth,0.0,2010
27,Christian KlienKLI,AUT,HRT Cosworth,0.0,2010
1,Sebastian VettelVET,GER,Red Bull Racing Renault,392.0,2011
2,Jenson ButtonBUT,GBR,McLaren Mercedes,270.0,2011
3,Mark WebberWEB,AUS,Red Bull Racing Renault,258.0,2011
4,Fernando AlonsoALO,ESP,Ferrari,257.0,2011
5,Lewis HamiltonHAM,GBR,McLaren Mercedes,227.0,2011
6,Felipe MassaMAS,BRA,Ferrari,118.0,2011
7,Nico RosbergROS,GER,Mercedes,89.0,2011
8,Michael SchumacherMSC,GER,Mercedes,76.0,2011
9,Adrian SutilSUT,GER,Force India Mercedes,42.0,2011
10,Vitaly PetrovPET,RUS,Renault,37.0,2011
11,Nick HeidfeldHEI,GER,Renault,34.0,2011
12,Kamui KobayashiKOB,JPN,Sauber Ferrari,30.0,2011
13,Paul di RestaDIR,GBR,Force India Mercedes,27.0,2011
14,Jaime AlguersuariALG,ESP,STR Ferrari,26.0,2011
15,Sebastien BuemiBUE,SUI,STR Ferrari,15.0,2011
16,Sergio PerezPER,MEX,Sauber Ferrari,14.0,2011
17,Rubens BarrichelloBAR,BRA,Williams Cosworth,4.0,2011
18,Bruno SennaSEN,BRA,Renault,2.0,2011
19,Pastor MaldonadoMAL,VEN,Williams Cosworth,1.0,2011
20,Pedro de la RosaDLR,ESP,Sauber Ferrari,0.0,2011
21,Jarno TrulliTRU,ITA,Lotus Renault,0.0,2011
22,Heikki KovalainenKOV,FIN,Lotus Renault,0.0,2011
23,Vitantonio LiuzziLIU,ITA,HRT Cosworth,0.0,2011
24,Jerome d'AmbrosioDAM,BEL,Virgin Cosworth,0.0,2011
25,Timo GlockGLO,GER,Virgin Cosworth,0.0,2011
26,Narain KarthikeyanKAR,IND,HRT Cosworth,0.0,2011
27,Daniel RicciardoRIC,AUS,HRT Cosworth,0.0,2011
28,Karun ChandhokCHD,IND,Lotus Renault,0.0,2011
1,Sebastian VettelVET,GER,Red Bull Racing Renault,281.0,2012
2,Fernando AlonsoALO,ESP,Ferrari,278.0,2012
3,Kimi RäikkönenRAI,FIN,Lotus Renault,207.0,2012
4,Lewis HamiltonHAM,GBR,McLaren Mercedes,190.0,2012
5,Jenson ButtonBUT,GBR,McLaren Mercedes,188.0,2012
6,Mark WebberWEB,AUS,Red Bull Racing Renault,179.0,2012
7,Felipe MassaMAS,BRA,Ferrari,122.0,2012
8,Romain GrosjeanGRO,FRA,Lotus Renault,96.0,2012
9,Nico RosbergROS,GER,Mercedes,93.0,2012
10,Sergio PerezPER,MEX,Sauber Ferrari,66.0,2012
11,Nico HulkenbergHUL,GER,Force India Mercedes,63.0,2012
12,Kamui KobayashiKOB,JPN,Sauber Ferrari,60.0,2012
13,Michael SchumacherMSC,GER,Mercedes,49.0,2012
14,Paul di RestaDIR,GBR,Force India Mercedes,46.0,2012
15,Pastor MaldonadoMAL,VEN,Williams Renault,45.0,2012
16,Bruno SennaSEN,BRA,Williams Renault,31.0,2012
17,Jean-Eric VergneVER,FRA,STR Ferrari,16.0,2012
18,Daniel RicciardoRIC,AUS,STR Ferrari,10.0,2012
19,Vitaly PetrovPET,RUS,Caterham Renault,0.0,2012
20,Timo GlockGLO,GER,Marussia Cosworth,0.0,2012
21,Charles PicPIC,FRA,Marussia Cosworth,0.0,2012
22,Heikki KovalainenKOV,FIN,Caterham Renault,0.0,2012
23,Jerome d'AmbrosioDAM,BEL,Lotus Renault,0.0,2012
24,Narain KarthikeyanKAR,IND,HRT Cosworth,0.0,2012
25,Pedro de la RosaDLR,ESP,HRT Cosworth,0.0,2012
1,Sebastian VettelVET,GER,Red Bull Racing Renault,397.0,2013
2,Fernando AlonsoALO,ESP,Ferrari,242.0,2013
3,Mark WebberWEB,AUS,Red Bull Racing Renault,199.0,2013
4,Lewis HamiltonHAM,GBR,Mercedes,189.0,2013
5,Kimi RäikkönenRAI,FIN,Lotus Renault,183.0,2013
6,Nico RosbergROS,GER,Mercedes,171.0,2013
7,Romain GrosjeanGRO,FRA,Lotus Renault,132.0,2013
8,Felipe MassaMAS,BRA,Ferrari,112.0,2013
9,Jenson ButtonBUT,GBR,McLaren Mercedes,73.0,2013
10,Nico HulkenbergHUL,GER,Sauber Ferrari,51.0,2013
11,Sergio PerezPER,MEX,McLaren Mercedes,49.0,2013
12,Paul di RestaDIR,GBR,Force India Mercedes,48.0,2013
13,Adrian SutilSUT,GER,Force India Mercedes,29.0,2013
14,Daniel RicciardoRIC,AUS,STR Ferrari,20.0,2013
15,Jean-Eric VergneVER,FRA,STR Ferrari,13.0,2013
16,Esteban Gutierrez GUT,MEX,Sauber Ferrari,6.0,2013
17,Valtteri BottasBOT,FIN,Williams Renault,4.0,2013
18,Pastor MaldonadoMAL,VEN,Williams Renault,1.0,2013
19,Jules BianchiBIA,FRA,Marussia Cosworth,0.0,2013
20,Charles PicPIC,FRA,Caterham Renault,0.0,2013
21,Heikki KovalainenKOV,FIN,Lotus Renault,0.0,2013
22,Giedo van der GardeVDG,NED,Caterham Renault,0.0,2013
23,Max ChiltonCHI,GBR,Marussia Cosworth,0.0,2013
1,Lewis HamiltonHAM,GBR,Mercedes,384.0,2014
2,Nico RosbergROS,GER,Mercedes,317.0,2014
3,Daniel RicciardoRIC,AUS,Red Bull Racing Renault,238.0,2014
4,Valtteri BottasBOT,FIN,Williams Mercedes,186.0,2014
5,Sebastian VettelVET,GER,Red Bull Racing Renault,167.0,2014
6,Fernando AlonsoALO,ESP,Ferrari,161.0,2014
7,Felipe MassaMAS,BRA,Williams Mercedes,134.0,2014
8,Jenson ButtonBUT,GBR,McLaren Mercedes,126.0,2014
9,Nico HulkenbergHUL,GER,Force India Mercedes,96.0,2014
10,Sergio PerezPER,MEX,Force India Mercedes,59.0,2014
11,Kevin MagnussenMAG,DEN,McLaren Mercedes,55.0,2014
12,Kimi RäikkönenRAI,FIN,Ferrari,55.0,2014
13,Jean-Eric VergneVER,FRA,STR Renault,22.0,2014
14,Romain GrosjeanGRO,FRA,Lotus Renault,8.0,2014
15,Daniil KvyatKVY,RUS,STR Renault,8.0,2014
16,Pastor MaldonadoMAL,VEN,Lotus Renault,2.0,2014
17,Jules BianchiBIA,FRA,Marussia Ferrari,2.0,2014
18,Adrian SutilSUT,GER,Sauber Ferrari,0.0,2014
19,Marcus EricssonERI,SWE,Caterham Renault,0.0,2014
20,Esteban Gutierrez GUT,MEX,Sauber Ferrari,0.0,2014
21,Max ChiltonCHI,GBR,Marussia Ferrari,0.0,2014
22,Kamui KobayashiKOB,JPN,Caterham Renault,0.0,2014
23,Will StevensSTE,GBR,Caterham Renault,0.0,2014
1,Lewis HamiltonHAM,GBR,Mercedes,381.0,2015
2,Nico RosbergROS,GER,Mercedes,322.0,2015
3,Sebastian VettelVET,GER,Ferrari,278.0,2015
4,Kimi RäikkönenRAI,FIN,Ferrari,150.0,2015
5,Valtteri BottasBOT,FIN,Williams Mercedes,136.0,2015
6,Felipe MassaMAS,BRA,Williams Mercedes,121.0,2015
7,Daniil KvyatKVY,RUS,Red Bull Racing Renault,95.0,2015
8,Daniel RicciardoRIC,AUS,Red Bull Racing Renault,92.0,2015
9,Sergio PerezPER,MEX,Force India Mercedes,78.0,2015
10,Nico HulkenbergHUL,GER,Force India Mercedes,58.0,2015
11,Romain GrosjeanGRO,FRA,Lotus Mercedes,51.0,2015
12,Max VerstappenVER,NED,STR Renault,49.0,2015
13,Felipe NasrNAS,BRA,Sauber Ferrari,27.0,2015
14,Pastor MaldonadoMAL,VEN,Lotus Mercedes,27.0,2015
15,Carlos SainzSAI,ESP,STR Renault,18.0,2015
16,Jenson ButtonBUT,GBR,McLaren Honda,16.0,2015
17,Fernando AlonsoALO,ESP,McLaren Honda,11.0,2015
18,Marcus EricssonERI,SWE,Sauber Ferrari,9.0,2015
19,Roberto MerhiMER,ESP,Marussia Ferrari,0.0,2015
20,Alexander RossiRSI,USA,Marussia Ferrari,0.0,2015
21,Will StevensSTE,GBR,Marussia Ferrari,0.0,2015
1,Nico RosbergROS,GER,Mercedes,385.0,2016
2,Lewis HamiltonHAM,GBR,Mercedes,380.0,2016
3,Daniel RicciardoRIC,AUS,Red Bull Racing TAG Heuer,256.0,2016
4,Sebastian VettelVET,GER,Ferrari,212.0,2016
5,Max VerstappenVER,NED,Red Bull Racing TAG Heuer,204.0,2016
6,Kimi RäikkönenRAI,FIN,Ferrari,186.0,2016
7,Sergio PerezPER,MEX,Force India Mercedes,101.0,2016
8,Valtteri BottasBOT,FIN,Williams Mercedes,85.0,2016
9,Nico HulkenbergHUL,GER,Force India Mercedes,72.0,2016
10,Fernando AlonsoALO,ESP,McLaren Honda,54.0,2016
11,Felipe MassaMAS,BRA,Williams Mercedes,53.0,2016
12,Carlos SainzSAI,ESP,Toro Rosso Ferrari,46.0,2016
13,Romain GrosjeanGRO,FRA,Haas Ferrari,29.0,2016
14,Daniil KvyatKVY,RUS,Toro Rosso Ferrari,25.0,2016
15,Jenson ButtonBUT,GBR,McLaren Honda,21.0,2016
16,Kevin MagnussenMAG,DEN,Renault,7.0,2016
17,Felipe NasrNAS,BRA,Sauber Ferrari,2.0,2016
18,Jolyon PalmerPAL,GBR,Renault,1.0,2016
19,Pascal WehrleinWEH,GER,MRT Mercedes,1.0,2016
20,Stoffel VandoorneVAN,BEL,McLaren Honda,1.0,2016
21,Esteban Gutierrez GUT,MEX,Haas Ferrari,0.0,2016
22,Marcus EricssonERI,SWE,Sauber Ferrari,0.0,2016
23,Esteban OconOCO,FRA,MRT Mercedes,0.0,2016
24,Rio HaryantoHAR,INA,MRT Mercedes,0.0,2016
1,Lewis HamiltonHAM,GBR,Mercedes,363.0,2017
2,Sebastian VettelVET,GER,Ferrari,317.0,2017
3,Valtteri BottasBOT,FIN,Mercedes,305.0,2017
4,Kimi RäikkönenRAI,FIN,Ferrari,205.0,2017
5,Daniel RicciardoRIC,AUS,Red Bull Racing TAG Heuer,200.0,2017
6,Max VerstappenVER,NED,Red Bull Racing TAG Heuer,168.0,2017
7,Sergio PerezPER,MEX,Force India Mercedes,100.0,2017
8,Esteban OconOCO,FRA,Force India Mercedes,87.0,2017
9,Carlos SainzSAI,ESP,Renault,54.0,2017
10,Nico HulkenbergHUL,GER,Renault,43.0,2017
11,Felipe MassaMAS,BRA,Williams Mercedes,43.0,2017
12,Lance StrollSTR,CAN,Williams Mercedes,40.0,2017
13,Romain GrosjeanGRO,FRA,Haas Ferrari,28.0,2017
14,Kevin MagnussenMAG,DEN,Haas Ferrari,19.0,2017
15,Fernando AlonsoALO,ESP,McLaren Honda,17.0,2017
16,Stoffel VandoorneVAN,BEL,McLaren Honda,13.0,2017
17,Jolyon PalmerPAL,GBR,Renault,8.0,2017
18,Pascal WehrleinWEH,GER,Sauber Ferrari,5.0,2017
19,Daniil KvyatKVY,RUS,Toro Rosso,5.0,2017
20,Marcus EricssonERI,SWE,Sauber Ferrari,0.0,2017
21,Pierre GaslyGAS,FRA,Toro Rosso,0.0,2017
22,Antonio GiovinazziGIO,ITA,Sauber Ferrari,0.0,2017
23,Brendon HartleyHAR,NZL,Toro Rosso,0.0,2017
1,Lewis HamiltonHAM,GBR,Mercedes,408.0,2018
2,Sebastian VettelVET,GER,Ferrari,320.0,2018
3,Kimi RäikkönenRAI,FIN,Ferrari,251.0,2018
4,Max VerstappenVER,NED,Red Bull Racing TAG Heuer,249.0,2018
5,Valtteri BottasBOT,FIN,Mercedes,247.0,2018
6,Daniel RicciardoRIC,AUS,Red Bull Racing TAG Heuer,170.0,2018
7,Nico HulkenbergHUL,GER,Renault,69.0,2018
8,Sergio PerezPER,MEX,Force India Mercedes,62.0,2018
9,Kevin MagnussenMAG,DEN,Haas Ferrari,56.0,2018
10,Carlos SainzSAI,ESP,Renault,53.0,2018
11,Fernando AlonsoALO,ESP,McLaren Renault,50.0,2018
12,Esteban OconOCO,FRA,Force India Mercedes,49.0,2018
13,Charles LeclercLEC,MON,Sauber Ferrari,39.0,2018
14,Romain GrosjeanGRO,FRA,Haas Ferrari,37.0,2018
15,Pierre GaslyGAS,FRA,Scuderia Toro Rosso Honda,29.0,2018
16,Stoffel VandoorneVAN,BEL,McLaren Renault,12.0,2018
17,Marcus EricssonERI,SWE,Sauber Ferrari,9.0,2018
18,Lance StrollSTR,CAN,Williams Mercedes,6.0,2018
19,Brendon HartleyHAR,NZL,Scuderia Toro Rosso Honda,4.0,2018
20,Sergey SirotkinSIR,RUS,Williams Mercedes,1.0,2018
1,Lewis HamiltonHAM,GBR,Mercedes,413.0,2019
2,Valtteri BottasBOT,FIN,Mercedes,326.0,2019
3,Max VerstappenVER,NED,Red Bull Racing Honda,278.0,2019
4,Charles LeclercLEC,MON,Ferrari,264.0,2019
5,Sebastian VettelVET,GER,Ferrari,240.0,2019
6,Carlos SainzSAI,ESP,McLaren Renault,96.0,2019
7,Pierre GaslyGAS,FRA,Scuderia Toro Rosso Honda,95.0,2019
8,Alexander AlbonALB,THA,Red Bull Racing Honda,92.0,2019
9,Daniel RicciardoRIC,AUS,Renault,54.0,2019
10,Sergio PerezPER,MEX,Racing Point BWT Mercedes,52.0,2019
11,Lando NorrisNOR,GBR,McLaren Renault,49.0,2019
12,Kimi RäikkönenRAI,FIN,Alfa Romeo Racing Ferrari,43.0,2019
13,Daniil KvyatKVY,RUS,Scuderia Toro Rosso Honda,37.0,2019
14,Nico HulkenbergHUL,GER,Renault,37.0,2019
15,Lance StrollSTR,CAN,Racing Point BWT Mercedes,21.0,2019
16,Kevin MagnussenMAG,DEN,Haas Ferrari,20.0,2019
17,Antonio GiovinazziGIO,ITA,Alfa Romeo Racing Ferrari,14.0,2019
18,Romain GrosjeanGRO,FRA,Haas Ferrari,8.0,2019
19,Robert KubicaKUB,POL,Williams Mercedes,1.0,2019
20,George RussellRUS,GBR,Williams Mercedes,0.0,2019
1,Lewis HamiltonHAM,GBR,Mercedes,347.0,2020
2,Valtteri BottasBOT,FIN,Mercedes,223.0,2020
3,Max VerstappenVER,NED,Red Bull Racing Honda,214.0,2020
4,Sergio PerezPER,MEX,Racing Point BWT Mercedes,125.0,2020
5,Daniel RicciardoRIC,AUS,Renault,119.0,2020
6,Carlos SainzSAI,ESP,McLaren Renault,105.0,2020
7,Alexander AlbonALB,THA,Red Bull Racing Honda,105.0,2020
8,Charles LeclercLEC,MON,Ferrari,98.0,2020
9,Lando NorrisNOR,GBR,McLaren Renault,97.0,2020
10,Pierre GaslyGAS,FRA,AlphaTauri Honda,75.0,2020
11,Lance StrollSTR,CAN,Racing Point BWT Mercedes,75.0,2020
12,Esteban OconOCO,FRA,Renault,62.0,2020
13,Sebastian VettelVET,GER,Ferrari,33.0,2020
14,Daniil KvyatKVY,RUS,AlphaTauri Honda,32.0,2020
15,Nico HulkenbergHUL,GER,Racing Point BWT Mercedes,10.0,2020
16,Kimi RäikkönenRAI,FIN,Alfa Romeo Racing Ferrari,4.0,2020
17,Antonio GiovinazziGIO,ITA,Alfa Romeo Racing Ferrari,4.0,2020
18,George RussellRUS,GBR,Williams Mercedes,3.0,2020
19,Romain GrosjeanGRO,FRA,Haas Ferrari,2.0,2020
20,Kevin MagnussenMAG,DEN,Haas Ferrari,1.0,2020
21,Nicholas LatifiLAT,CAN,Williams Mercedes,0.0,2020
22,Jack AitkenAIT,GBR,Williams Mercedes,0.0,2020
23,Pietro FittipaldiFIT,BRA,Haas Ferrari,0.0,2020
1,Max VerstappenVER,NED,Red Bull Racing Honda,395.5,2021
2,Lewis HamiltonHAM,GBR,Mercedes,387.5,2021
3,Valtteri BottasBOT,FIN,Mercedes,226.0,2021
4,Sergio PerezPER,MEX,Red Bull Racing Honda,190.0,2021
5,Carlos SainzSAI,ESP,Ferrari,164.5,2021
6,Lando NorrisNOR,GBR,McLaren Mercedes,160.0,2021
7,Charles LeclercLEC,MON,Ferrari,159.0,2021
8,Daniel RicciardoRIC,AUS,McLaren Mercedes,115.0,2021
9,Pierre GaslyGAS,FRA,AlphaTauri Honda,110.0,2021
10,Fernando AlonsoALO,ESP,Alpine Renault,81.0,2021
11,Esteban OconOCO,FRA,Alpine Renault,74.0,2021
12,Sebastian VettelVET,GER,Aston Martin Mercedes,43.0,2021
13,Lance StrollSTR,CAN,Aston Martin Mercedes,34.0,2021
14,Yuki TsunodaTSU,JPN,AlphaTauri Honda,32.0,2021
15,George RussellRUS,GBR,Williams Mercedes,16.0,2021
16,Kimi RäikkönenRAI,FIN,Alfa Romeo Racing Ferrari,10.0,2021
17,Nicholas LatifiLAT,CAN,Williams Mercedes,7.0,2021
18,Antonio GiovinazziGIO,ITA,Alfa Romeo Racing Ferrari,3.0,2021
19,Mick SchumacherMSC,GER,Haas Ferrari,0.0,2021
20,Robert KubicaKUB,POL,Alfa Romeo Racing Ferrari,0.0,2021
21,Nikita MazepinMAZ,RAF,Haas Ferrari,0.0,2021
1,Max VerstappenVER,NED,Red Bull Racing RBPT,454.0,2022
2,Charles LeclercLEC,MON,Ferrari,308.0,2022
3,Sergio PerezPER,MEX,Red Bull Racing RBPT,305.0,2022
4,George RussellRUS,GBR,Mercedes,275.0,2022
5,Carlos SainzSAI,ESP,Ferrari,246.0,2022
6,Lewis HamiltonHAM,GBR,Mercedes,240.0,2022
7,Lando NorrisNOR,GBR,McLaren Mercedes,122.0,2022
8,Esteban OconOCO,FRA,Alpine Renault,92.0,2022
9,Fernando AlonsoALO,ESP,Alpine Renault,81.0,2022
10,Valtteri BottasBOT,FIN,Alfa Romeo Ferrari,49.0,2022
11,Daniel RicciardoRIC,AUS,McLaren Mercedes,37.0,2022
12,Sebastian VettelVET,GER,Aston Martin Aramco Mercedes,37.0,2022
13,Kevin MagnussenMAG,DEN,Haas Ferrari,25.0,2022
14,Pierre GaslyGAS,FRA,AlphaTauri RBPT,23.0,2022
15,Lance StrollSTR,CAN,Aston Martin Aramco Mercedes,18.0,2022
16,Mick SchumacherMSC,GER,Haas Ferrari,12.0,2022
17,Yuki TsunodaTSU,JPN,AlphaTauri RBPT,12.0,2022
18,Zhou GuanyuZHO,CHN,Alfa Romeo Ferrari,6.0,2022
19,Alexander AlbonALB,THA,Williams Mercedes,4.0,2022
20,Nicholas LatifiLAT,CAN,Williams Mercedes,2.0,2022
21,Nyck De VriesDEV,NED,Williams Mercedes,2.0,2022
22,Nico HulkenbergHUL,GER,Aston Martin Aramco Mercedes,0.0,2022
1,Max VerstappenVER,NED,Red Bull Racing Honda RBPT,575.0,2023
2,Sergio PerezPER,MEX,Red Bull Racing Honda RBPT,285.0,2023
3,Lewis HamiltonHAM,GBR,Mercedes,234.0,2023
4,Fernando AlonsoALO,ESP,Aston Martin Aramco Mercedes,206.0,2023
5,Charles LeclercLEC,MON,Ferrari,206.0,2023
6,Lando NorrisNOR,GBR,McLaren Mercedes,205.0,2023
7,Carlos SainzSAI,ESP,Ferrari,200.0,2023
8,George RussellRUS,GBR,Mercedes,175.0,2023
9,Oscar PiastriPIA,AUS,McLaren Mercedes,97.0,2023
10,Lance StrollSTR,CAN,Aston Martin Aramco Mercedes,74.0,2023
11,Pierre GaslyGAS,FRA,Alpine Renault,62.0,2023
12,Esteban OconOCO,FRA,Alpine Renault,58.0,2023
13,Alexander AlbonALB,THA,Williams Mercedes,27.0,2023
14,Yuki TsunodaTSU,JPN,AlphaTauri Honda RBPT,17.0,2023
15,Valtteri BottasBOT,FIN,Alfa Romeo Ferrari,10.0,2023
16,Nico HulkenbergHUL,GER,Haas Ferrari,9.0,2023
17,Daniel RicciardoRIC,AUS,AlphaTauri Honda RBPT,6.0,2023
18,Zhou GuanyuZHO,CHN,Alfa Romeo Ferrari,6.0,2023
19,Kevin MagnussenMAG,DEN,Haas Ferrari,3.0,2023
20,Liam LawsonLAW,NZL,AlphaTauri Honda RBPT,2.0,2023
21,Logan SargeantSAR,USA,Williams Mercedes,1.0,2023
22,Nyck De VriesDEV,NED,AlphaTauri Honda RBPT,0.0,2023
1,Max VerstappenVER,NED,Red Bull Racing Honda RBPT,437.0,2024
2,Lando NorrisNOR,GBR,McLaren Mercedes,374.0,2024
3,Charles LeclercLEC,MON,Ferrari,356.0,2024
4,Oscar PiastriPIA,AUS,McLaren Mercedes,292.0,2024
5,Carlos SainzSAI,ESP,Ferrari,290.0,2024
6,George RussellRUS,GBR,Mercedes,245.0,2024
7,Lewis HamiltonHAM,GBR,Mercedes,223.0,2024
8,Sergio PerezPER,MEX,Red Bull Racing Honda RBPT,152.0,2024
9,Fernando AlonsoALO,ESP,Aston Martin Aramco Mercedes,70.0,2024
10,Pierre GaslyGAS,FRA,Alpine Renault,42.0,2024
11,Nico HulkenbergHUL,GER,Haas Ferrari,41.0,2024
12,Yuki TsunodaTSU,JPN,RB Honda RBPT,30.0,2024
13,Lance StrollSTR,CAN,Aston Martin Aramco Mercedes,24.0,2024
14,Esteban OconOCO,FRA,Alpine Renault,23.0,2024
15,Kevin MagnussenMAG,DEN,Haas Ferrari,16.0,2024
16,Alexander AlbonALB,THA,Williams Mercedes,12.0,2024
17,Daniel RicciardoRIC,AUS,RB Honda RBPT,12.0,2024
18,Oliver BearmanBEA,GBR,Haas Ferrari,7.0,2024
19,Franco ColapintoCOL,ARG,Williams Mercedes,5.0,2024
20,Zhou GuanyuZHO,CHN,Kick Sauber Ferrari,4.0,2024
21,Liam LawsonLAW,NZL,RB Honda RBPT,4.0,2024
22,Valtteri BottasBOT,FIN,Kick Sauber Ferrari,0.0,2024
23,Logan SargeantSAR,USA,Williams Mercedes,0.0,2024
24,Jack DoohanDOO,AUS,Alpine Renault,0.0,2024
1,Lando NorrisNOR,GBR,McLaren Mercedes,25.0,2025
2,Max VerstappenVER,NED,Red Bull Racing Honda RBPT,18.0,2025
3,George RussellRUS,GBR,Mercedes,15.0,2025
4,Andrea Kimi AntonelliANT,ITA,Mercedes,12.0,2025
5,Alexander AlbonALB,THA,Williams Mercedes,10.0,2025
6,Lance StrollSTR,CAN,Aston Martin Aramco Mercedes,8.0,2025
7,Nico HulkenbergHUL,GER,Kick Sauber Ferrari,6.0,2025
8,Charles LeclercLEC,MON,Ferrari,4.0,2025
9,Oscar PiastriPIA,AUS,McLaren Mercedes,2.0,2025
10,Lewis HamiltonHAM,GBR,Ferrari,1.0,2025
11,Pierre GaslyGAS,FRA,Alpine Renault,0.0,2025
12,Yuki TsunodaTSU,JPN,Racing Bulls Honda RBPT,0.0,2025
13,Esteban OconOCO,FRA,Haas Ferrari,0.0,2025
14,Oliver BearmanBEA,GBR,Haas Ferrari,0.0,2025
